build_year,facades,garden,living_area,locality_name,number_rooms,postal_code,price,property_id,property_type,property_url,state,swimming_pool,terrace
,,1,214,Sint-Pieters-Woluwe,4,1150,950000,vbd49889,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1150/sint-pieters-woluwe/vbd49889,,0,1
2020,,1,71,Geel,1,2440,259000,rbu64232,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2440/geel/rbu64232,Normal,0,1
,2,1,,Laken,,1020,240000,rbu61312,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/rbu61312,New,0,1
1959,3,0,85,Laken,2,1020,249000,rbu62666,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/rbu62666,Normal,0,1
1995,,0,220,Geel,3,2440,575000,rbu66378,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2440/geel/rbu66378,Normal,0,1
2025,2,1,92,Oudergem,3,1160,645000,rbu61315,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1160/oudergem/rbu61315,New,0,1
2020,2,0,65,Laken,1,1020,249999,vbd44816,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd44816,New,0,1
2010,4,0,59,Geel,1,2440,195000,rbu66861,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2440/geel/rbu66861,Excellent,0,1
,2,0,78,Oudergem,1,1160,275000,vbd17956,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1160/oudergem/vbd17956,Normal,0,0
,2,1,102,Laken,2,1020,319000,vbd45535,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd45535,Normal,0,1
,,0,85,Geel,2,2440,264500,rwc41150,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2440/geel/rwc41150,,0,1
,3,0,110,Oudergem,3,1160,395000,vbd41882,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1160/oudergem/vbd41882,Normal,0,1
2024,2,0,104,Meerhout,2,2450,271000,rbu55486,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2450/meerhout/rbu55486,New,0,1
1960,,0,98,Oudergem,2,1160,295000,vbd44912,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1160/oudergem/vbd44912,To be renovated,0,1
,2,0,80,Laken,2,1020,279000,vbd45956,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd45956,,0,1
,,1,63,Oudergem,1,1160,299000,vbd45693,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1160/oudergem/vbd45693,Normal,0,1
2024,2,0,80,Meerhout,1,2450,225000,rbu55487,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2450/meerhout/rbu55487,New,0,1
,2,0,80,Laken,2,1020,279000,vbd45957,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd45957,,0,1
,2,0,80,Laken,2,1020,279000,vbd45960,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd45960,,0,1
2024,2,1,134,Oudergem,3,1160,780000,vbd45694,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1160/oudergem/vbd45694,New,0,1
2019,,0,88,Meerhout,1,2450,229000,rbu60992,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2450/meerhout/rbu60992,,0,0
2012,,0,70,Oudergem,1,1160,320000,vbd45954,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1160/oudergem/vbd45954,Normal,0,1
,3,0,120,Laken,2,1020,354900,vbd46084,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd46084,,0,1
1965,3,1,261,Balen,3,2490,315000,rbr94056,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2490/balen/rbr94056,,0,0
1965,2,0,89,Oudergem,2,1160,360000,vbd46558,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1160/oudergem/vbd46558,Normal,0,1
,2,0,130,Laken,3,1020,349000,vbd46087,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd46087,,0,1
1997,2,0,143,Balen,2,2490,310000,rbu09922,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2490/balen/rbu09922,,0,1
1960,2,0,35,Laken,1,1020,149000,vbd46405,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd46405,To be renovated,0,0
2020,2,1,135,Balen,2,2490,279000,rbu64326,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2490/balen/rbu64326,,0,1
1960,2,0,93,Oudergem,2,1160,387000,vbd46653,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1160/oudergem/vbd46653,Normal,0,1
2011,,1,97,Koningshooikt,,2500,295000,rbu56158,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2500/koningshooikt/rbu56158,,0,1
,3,0,120,Laken,3,1020,354900,vbd46809,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd46809,,0,1
2024,,0,91,Oudergem,2,1160,545000,vbd47358,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1160/oudergem/vbd47358,New,0,1
2026,2,0,86,Koningshooikt,1,2500,290000,rbu62277,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2500/koningshooikt/rbu62277,New,0,1
1971,,0,69,Laken,1,1020,175000,vbd46821,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd46821,To renovate,0,1
2024,,0,94,Oudergem,2,1160,570000,vbd47360,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1160/oudergem/vbd47360,New,0,1
1923,2,1,218,Laken,2,1020,540000,vbd46859,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd46859,Normal,0,1
2024,,0,74,Oudergem,1,1160,440000,vbd47361,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1160/oudergem/vbd47361,New,0,1
2026,2,0,110,Koningshooikt,2,2500,375000,rbu62278,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2500/koningshooikt/rbu62278,New,0,1
2010,,1,210,Oudergem,3,1160,750000,vbd47411,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1160/oudergem/vbd47411,Excellent,0,1
1953,2,0,87,Laken,2,1020,220000,vbd47098,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd47098,To renovate,0,1
2026,3,0,104,Koningshooikt,2,2500,358000,rbu62279,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2500/koningshooikt/rbu62279,New,0,1
1974,3,1,80,Laken,2,1020,220000,vbd48969,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd48969,To renovate,0,1
2026,2,0,85,Koningshooikt,1,2500,290000,rbu62280,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2500/koningshooikt/rbu62280,New,0,1
,2,1,35,Oudergem,,1160,125000,vbd48178,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1160/oudergem/vbd48178,,0,1
1964,2,0,102,Laken,3,1020,265000,vbd48971,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd48971,Excellent,0,1
2024,3,0,127,Oudergem,3,1160,645000,vbd48730,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1160/oudergem/vbd48730,New,0,1
2026,3,0,108,Koningshooikt,2,2500,375000,rbu62281,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2500/koningshooikt/rbu62281,New,0,1
1970,2,0,70,Laken,1,1020,199000,vbd48973,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd48973,Excellent,0,1
2024,3,0,127,Oudergem,3,1160,655000,vbd48731,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1160/oudergem/vbd48731,New,0,1
2026,3,0,104,Koningshooikt,2,2500,358000,rbu62282,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2500/koningshooikt/rbu62282,New,0,1
1910,2,0,600,Laken,6,1020,560000,vbd48991,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd48991,To be renovated,0,0
2024,3,1,91,Oudergem,2,1160,475000,vbd49069,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1160/oudergem/vbd49069,New,0,1
2022,2,0,97,Lier,2,2500,339000,rbu38107,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2500/lier/rbu38107,New,0,1
,2,0,74,Laken,1,1020,210000,vbd49024,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd49024,Normal,0,1
1967,,0,80,Watermaal-Bosvoorde,2,1170,230000,vbd22725,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1170/watermaal-bosvoorde/vbd22725,To be renovated,0,1
2023,2,1,116,Lier,2,2500,361200,rbu38112,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2500/lier/rbu38112,New,0,1
1967,2,0,91,Lier,2,2500,229000,rbu55768,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2500/lier/rbu55768,Excellent,0,1
,,0,105,Schaarbeek,2,1030,280000,rbu60046,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/rbu60046,To renovate,0,1
1958,4,0,107,Watermaal-Bosvoorde,3,1170,325000,vbd38079,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1170/watermaal-bosvoorde/vbd38079,To be renovated,0,1
2011,2,1,63,Schaarbeek,1,1030,275000,rbu63098,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/rbu63098,Excellent,0,1
2024,2,1,93,Lier,2,2500,348000,rbu56173,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2500/lier/rbu56173,,0,1
1977,,0,49,Watermaal-Bosvoorde,1,1170,300000,vbd40616,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1170/watermaal-bosvoorde/vbd40616,,0,0
1956,2,0,89,Schaarbeek,2,1030,335000,rbu66622,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/rbu66622,Normal,0,1
2010,2,1,125,Lier,3,2500,440000,rbu64768,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2500/lier/rbu64768,Excellent,0,1
2025,2,0,150,Watermaal-Bosvoorde,3,1170,679000,vbd46746,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1170/watermaal-bosvoorde/vbd46746,New,0,1
,2,0,103,Lier,3,2500,385000,rbu66666,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2500/lier/rbu66666,Excellent,0,1
